original_path,stego_path,method,secret_message
initial/iwt_1.jpg,stego_iwt/iwt_1.jpg,iwt,[AV] This is my burden to bear.
initial/iwt_3.jpg,stego_iwt/iwt_3.jpg,iwt,[AV] I choose to run toward my problems.
initial/iwt_4.jpg,stego_iwt/iwt_4.jpg,iwt,[AV] I’m not looking for forgiveness.
initial/iwt_5.jpg,stego_iwt/iwt_5.jpg,iwt,[LOTR] Don’t adventures ever have an end?
initial/iwt_6.jpg,stego_iwt/iwt_6.jpg,iwt,"[SW] Great shot, kid! That was one in a million!"
initial/iwt_7.jpg,stego_iwt/iwt_7.jpg,iwt,[SR] The roof of the license-plate factory.
initial/iwt_8.jpg,stego_iwt/iwt_8.jpg,iwt,[AV] Is this your king?
initial/iwt_9.jpg,stego_iwt/iwt_9.jpg,iwt,"[HP] Have a biscuit, Potter."
initial/iwt_10.jpg,stego_iwt/iwt_10.jpg,iwt,[LOTR] This is no mere ranger.
initial/iwt_11.jpg,stego_iwt/iwt_11.jpg,iwt,[LOTR] You need people of intelligence on this mission.
initial/iwt_12.jpg,stego_iwt/iwt_12.jpg,iwt,"[AV] I could do this all day. Yeah, I know."
initial/iwt_13.jpg,stego_iwt/iwt_13.jpg,iwt,[HP] We’ve all got both light and dark inside us.
initial/iwt_14.jpg,stego_iwt/iwt_14.jpg,iwt,[AV] We are in the Endgame now.
initial/iwt_15.jpg,stego_iwt/iwt_15.jpg,iwt,[HP] It’s our choices that show what we truly are.
initial/iwt_16.jpg,stego_iwt/iwt_16.jpg,iwt,[HP] Every human life is worth the same.
initial/iwt_17.jpg,stego_iwt/iwt_17.jpg,iwt,[AV] We’re in the endgame now.
initial/iwt_18.jpg,stego_iwt/iwt_18.jpg,iwt,[LOTR] And Rohan will answer.
initial/iwt_19.jpg,stego_iwt/iwt_19.jpg,iwt,"[SR] Bad luck, I guess. It floats around."
initial/iwt_21.jpg,stego_iwt/iwt_21.jpg,iwt,[SR] I guess I just miss my friend.
initial/iwt_22.jpg,stego_iwt/iwt_22.jpg,iwt,[AV] We create our own demons.
initial/iwt_23.jpg,stego_iwt/iwt_23.jpg,iwt,[SW] I hate sand. It’s coarse and rough.
initial/iwt_24.jpg,stego_iwt/iwt_24.jpg,iwt,[SW] Only a Sith deals in absolutes.
initial/iwt_25.jpg,stego_iwt/iwt_25.jpg,iwt,"[SW] The greatest teacher, failure is."
initial/iwt_27.jpg,stego_iwt/iwt_27.jpg,iwt,[SR] It broke my heart to see him like that.
initial/iwt_28.jpg,stego_iwt/iwt_28.jpg,iwt,[LOTR] And Rohan will answer.
initial/iwt_29.jpg,stego_iwt/iwt_29.jpg,iwt,"[SW] In my experience, there's no such thing as luck."
initial/iwt_30.jpg,stego_iwt/iwt_30.jpg,iwt,[AV] You could not live with your own failure.
initial/iwt_31.jpg,stego_iwt/iwt_31.jpg,iwt,[SW] He’s no good to me dead.
initial/iwt_32.jpg,stego_iwt/iwt_32.jpg,iwt,[HP] We’ve all got both light and dark inside us.
initial/iwt_33.jpg,stego_iwt/iwt_33.jpg,iwt,[AV] We create our own demons.
initial/iwt_34.jpg,stego_iwt/iwt_34.jpg,iwt,[SW] Rebellions are built on hope.
initial/iwt_35.jpg,stego_iwt/iwt_35.jpg,iwt,[SR] They can’t touch the music.
initial/iwt_37.jpg,stego_iwt/iwt_37.jpg,iwt,[LOTR] Let him not vow to walk in the dark.
initial/iwt_38.jpg,stego_iwt/iwt_38.jpg,iwt,"[SW] In my experience, there's no such thing as luck."
initial/iwt_39.jpg,stego_iwt/iwt_39.jpg,iwt,[SR] You eat when we say you eat.
initial/iwt_41.jpg,stego_iwt/iwt_41.jpg,iwt,[SR] Andy crawled to freedom.
initial/iwt_42.jpg,stego_iwt/iwt_42.jpg,iwt,"[LOTR] I can't do this, Sam."
initial/iwt_43.jpg,stego_iwt/iwt_43.jpg,iwt,[LOTR] My precious.
initial/iwt_44.jpg,stego_iwt/iwt_44.jpg,iwt,"[LOTR] I’d cut off your head, Dwarf, if it stood but a little higher."
initial/iwt_46.jpg,stego_iwt/iwt_46.jpg,iwt,[HP] It does not do to dwell on dreams.
initial/iwt_47.jpg,stego_iwt/iwt_47.jpg,iwt,[LOTR] That’s what I meant: perilous.
initial/iwt_48.jpg,stego_iwt/iwt_48.jpg,iwt,[LOTR] I’d rather be dead than see my kin bow to Sauron.
initial/iwt_49.jpg,stego_iwt/iwt_49.jpg,iwt,[SW] And I... am all the Jedi!
initial/iwt_50.jpg,stego_iwt/iwt_50.jpg,iwt,[LOTR] Even the smallest person can change the future.
initial/iwt_51.jpg,stego_iwt/iwt_51.jpg,iwt,[LOTR] And my axe.
initial/iwt_52.jpg,stego_iwt/iwt_52.jpg,iwt,[SR] That’s where I want to live the rest of my life.
initial/iwt_53.jpg,stego_iwt/iwt_53.jpg,iwt,[LOTR] You have my sword.
initial/iwt_54.jpg,stego_iwt/iwt_54.jpg,iwt,[AV] We’re in the endgame now.
